"customer_id","name","total_spent","customer_category"
91,"Shreya","2552.21","Silver"
92,"Payal","2444.95","Silver"
252,"Ananya","2361.42","Silver"
115,"Ira","2342.04","Silver"
226,"Myra","2337.80","Silver"
132,"Pooja","2309.07","Silver"
11,"Shreya","2295.67","Silver"
70,"Komal","2281.07","Silver"
97,"Aditya","2264.34","Silver"
188,"Varun","2258.11","Silver"
280,"Nandini","2238.78","Silver"
117,"Aanya","2236.33","Silver"
63,"Sai","2233.16","Silver"
48,"Navya","2219.11","Silver"
57,"Navya","2206.02","Silver"
166,"Aditya","2202.81","Silver"
126,"Swara","2183.34","Silver"
65,"Pooja","2175.73","Silver"
121,"Shaurya","2172.58","Silver"
64,"Pari","2166.33","Silver"
60,"Meera","2146.42","Silver"
111,"Shaurya","2120.40","Silver"
5,"Kunal","2108.72","Silver"
110,"Arnav","2053.59","Silver"
297,"Anjali","2034.28","Silver"
100,"Sneha","2024.30","Silver"
109,"Varun","2002.62","Silver"
1,"Aarav","1982.10","Bronze"
222,"Saanvi","1966.54","Bronze"
181,"Vihaan","1953.39","Bronze"
248,"Swara","1950.78","Bronze"
80,"Manav","1926.13","Bronze"
145,"Simran","1914.95","Bronze"
279,"Lavanya","1911.68","Bronze"
98,"Aarav","1911.25","Bronze"
61,"Anjali","1908.37","Bronze"
259,"Harsh","1886.39","Bronze"
289,"Reyansh","1859.43","Bronze"
41,"Arjun","1847.83","Bronze"
76,"Manav","1832.05","Bronze"
113,"Bhavya","1821.13","Bronze"
33,"Shreya","1800.29","Bronze"
32,"Harsh","1717.21","Bronze"
22,"Payal","1705.75","Bronze"
131,"Myra","1683.29","Bronze"
141,"Deepak","1662.18","Bronze"
215,"Tanya","1641.65","Bronze"
245,"Payal","1634.29","Bronze"
271,"Pooja","1574.93","Bronze"
234,"Atharv","1561.84","Bronze"
241,"Deepak","1559.18","Bronze"
35,"Sneha","1533.91","Bronze"
17,"Ira","1533.80","Bronze"
7,"Lavanya","1519.57","Bronze"
84,"Siddharth","1491.43","Bronze"
93,"Ananya","1450.38","Bronze"
159,"Aanya","1440.48","Bronze"
151,"Sara","1390.27","Bronze"
200,"Sneha","1375.31","Bronze"
238,"Ananya","1372.59","Bronze"
219,"Ananya","1370.09","Bronze"
30,"Meera","1345.32","Bronze"
298,"Shaurya","1271.25","Bronze"
285,"Aniket","1198.62","Bronze"
122,"Diya","1002.78","Bronze"
59,"Vihaan","982.20","Bronze"
69,"Neha","964.60","Bronze"
161,"Kabir","933.03","Bronze"
175,"Sai","912.46","Bronze"
128,"Muhammad","865.56","Bronze"
66,"Lavanya","814.88","Bronze"
230,"Aarav","687.02","Bronze"
186,"Atharv","666.45","Bronze"
18,"Anika","662.77","Bronze"
272,"Manav","658.81","Bronze"
165,"Karthik","629.25","Bronze"
119,"Yash","628.23","Bronze"
14,"Aditi","572.94","Bronze"
144,"Pari","570.62","Bronze"
173,"Raj","569.13","Bronze"
96,"Priya","533.05","Bronze"
73,"Pari","528.80","Bronze"
143,"Kunal","462.32","Bronze"
176,"Manav","446.44","Bronze"
46,"Arjun","383.49","Bronze"
94,"Arnav","353.45","Bronze"
12,"Sneha","259.03","Bronze"
56,"Rohan","149.03","Bronze"
50,"Pooja","116.10","Bronze"
90,"Bhavya","100.08","Bronze"
